"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ebi",0,NA,NA,NA,NA
"asc_anago",0.0391728314318268,0.035295286180769,1.10986014481363,0.034859900999591,1.1237218210197
"asc_maguro",0.227063384764591,0.0338815449878912,6.70168331596863,0.0334877953314111,6.78048174021203
"asc_ika",-0.537381733934923,0.0404998957896882,-13.2687189301793,0.0368897079488301,-14.5672536817133
"asc_uni",0.221222674976555,0.0343198091292065,6.4459179870057,0.0352639874982354,6.27333125579247
"asc_ikura",0.156961144831493,0.0344566355702608,4.5553241700407,0.0345898915373535,4.53777499307828
"asc_tamago",-0.961494028988338,0.0463546949884556,-20.7421066890375,0.0438900528411352,-21.9068779084995
"asc_toro",1.11325331200364,0.0313554684207764,35.5042794151336,0.0341806921637578,32.569653846391
"asc_tekka_maki",-0.766281317150805,0.0432881191907852,-17.7018852164389,0.0434937747328458,-17.6181837942919
"asc_kappa_maki",-2.06537751869173,0.0712315601505584,-28.9952587634785,0.0691170089041128,-29.8823336171428
